epoch,loss,mae,val_loss,val_mae
0,0.13139089941978455,0.29395925998687744,0.021964604035019875,0.12240702658891678
1,0.02042914554476738,0.11299154907464981,0.02320466749370098,0.13087689876556396
2,0.015348869375884533,0.1000404953956604,0.00943436473608017,0.0791240781545639
3,0.014699663035571575,0.09878411889076233,0.011281009763479233,0.0881139263510704
4,0.012595925480127335,0.0898345559835434,0.011265342123806477,0.08890438079833984
5,0.01198641024529934,0.08818257600069046,0.012423567473888397,0.09480316936969757
6,0.011791756376624107,0.08688881993293762,0.012608299031853676,0.09627065062522888
7,0.011756518855690956,0.08673599362373352,0.012462018989026546,0.09604904800653458
8,0.009436939842998981,0.07741197943687439,0.012718761339783669,0.09781648963689804
9,0.009404794313013554,0.07809588313102722,0.00820970069617033,0.07370561361312866
10,0.008836316876113415,0.0739169493317604,0.011848690919578075,0.09484259784221649
11,0.009319927543401718,0.07437579333782196,0.008917400613427162,0.0800800770521164
12,0.008352499455213547,0.07199323922395706,0.009229294955730438,0.08037788420915604
13,0.008456378243863583,0.07214302569627762,0.012582918629050255,0.09868979454040527
14,0.008382142521440983,0.07110230624675751,0.010794278234243393,0.09033146500587463
15,0.007338454015552998,0.06837839633226395,0.00877947174012661,0.07921762764453888
16,0.007770546246320009,0.06822028011083603,0.00974391307681799,0.0861731693148613
17,0.007684608921408653,0.06830137968063354,0.008637797087430954,0.07709798216819763
18,0.008561640977859497,0.0728040561079979,0.01240506675094366,0.09758403897285461
19,0.007755851373076439,0.06688924133777618,0.011158609762787819,0.09252485632896423
20,0.007511873729526997,0.06755270063877106,0.009265854954719543,0.08141401410102844
21,0.0074823577888309956,0.0685630813241005,0.008333076722919941,0.0759158581495285
22,0.007403938565403223,0.0662526860833168,0.008741743862628937,0.07900882512331009
23,0.007163087837398052,0.06734880805015564,0.010641946457326412,0.09043338149785995
24,0.007546888664364815,0.06708931177854538,0.008993285708129406,0.08121882379055023
25,0.007168679032474756,0.06539568305015564,0.0088688675314188,0.08156058937311172
26,0.006976521573960781,0.06529587507247925,0.010897819884121418,0.09153910726308823
27,0.007987827993929386,0.07016317546367645,0.009850856848061085,0.08488620817661285
28,0.008059782907366753,0.06858119368553162,0.009556961245834827,0.08455461263656616
29,0.0066107274033129215,0.062464963644742966,0.009388507343828678,0.08473395556211472
30,0.007167986128479242,0.06689897179603577,0.009646500460803509,0.08537506312131882
31,0.007248709909617901,0.06685526669025421,0.008152009919285774,0.07793428748846054
32,0.007506083697080612,0.06548412889242172,0.009588735178112984,0.08592765033245087
33,0.008036669343709946,0.07075116038322449,0.009844647720456123,0.08246956020593643
34,0.007822670973837376,0.06997457146644592,0.010858490131795406,0.09110350906848907
35,0.007233298383653164,0.06573721021413803,0.011232389137148857,0.09340347349643707
36,0.00718851201236248,0.06579134613275528,0.009910553693771362,0.0868993028998375
37,0.006760856602340937,0.0650603175163269,0.010422978550195694,0.08919449895620346
38,0.008130607195198536,0.07073622941970825,0.009976009838283062,0.08689717948436737
39,0.006200740113854408,0.062224552035331726,0.00864175520837307,0.08134256303310394
